Property_id,Property_type,Rental_price,Living_area,Price_per_living_area_unit,Bedrooms,Bathrooms,address,City
58,Single Family,1400,1224,1.14,3,1,426 22nd St E,West Fargo
275,Apartment,1400,1419,0.99,3,2,1781 35th St S,Fargo
494,Apartment,1425,1656,0.86,3,2,1738 35th St S,Fargo
157,Apartment,1450,1200,1.21,4,2,1320 12th Ave N,Fargo
343,Single Family,1490,1720,0.87,4,2,1317 9th Ave S,Moorhead
75,Townhouse,1495,1088,1.37,3,1,2145 2nd Ave E,West Fargo
45,Apartment,1495,1350,1.11,2,1.5,1139 Westport Beach Way,West Fargo
140,Townhouse,1500,1128,1.33,2,2,502 Oak St N,Fargo
273,Apartment,1520,1713,0.89,3,2.5,4230 47th St S,Fargo
478,Townhouse,1600,600,2.67,3,1,918 12th Ave N,Fargo
491,Apartment,1600,616,2.6,3,1,1139 10th St N,Fargo
139,Townhouse,1600,1320,1.21,2,1.5,3115 22nd St S,Fargo
373,Single Family,1600,1572,12,4,2,1105 14th St S,Moorhead
353,Single Family,1600,1728,0.93,2,1,1001 1st St S,Moorhead
354,Apartment,1600,1919,0.83,4,2,1121 2nd St S,Moorhead
385,Townhouse,1600,2600,0.62,5,3,1204 32nd Street Cir S,Moorhead
187,Single Family,1600,5750,0.28,4,2,412 12th St N,Fargo
10,Single Family,1645,1999,0.82,3,1,705 15th St S,Fargo
315,Apartment,1675,1300,1.29,3,2,1017 1037th St,Fargo
365,Single Family,1695,1140,1.49,5,2,1604 19th St S,Moorhead
327,Single Family,1695,1736,0.98,4,2,1965 57th Ave S,Fargo
247,Apartment,1695,1790,0.95,3,2,2320 5th St W,West Fargo
414,Single Family,1695,1850,0.92,5,2,602 12th St N,Moorhead
165,Single Family,1700,1656,13,3,2,2831 Wheatland Dr S,Fargo
137,Townhouse,1700,1960,0.87,2,3,1530 34th St S,Fargo
319,Single Family,1725,2200,0.78,4,2,1638 29th Ave S,Fargo
390,Single Family,1750,2028,0.86,4,2,1616 11th St S,Moorhead
150,Single Family,1790,1645,19,3,2,6193 56th Ave S,Fargo
312,Single Family,1795,1354,1.33,4,2,903 10th St N,Fargo
244,Apartment,1795,1790,1,3,2,2480 5th St W,West Fargo
193,Single Family,1795,1818,0.99,3,3,6098 55th Ave S,Fargo
196,Single Family,1795,1818,0.99,3,3,6080 55th Ave S,Fargo
366,Single Family,1795,1818,0.99,3,3,3354 27th St S,Moorhead
63,Single Family,1795,1842,0.97,3,2,1330 12th St W,West Fargo
67,Single Family,1795,1842,0.97,3,2,1319 5th St NW,West Fargo
132,Single Family,1795,1875,0.96,3,2,1607 51st St S,Fargo
292,Single Family,1795,2136,0.84,3,2,3426 47th Ave S,Fargo
172,Single Family,1800,1553,1.16,3,2,6240 24th St S,Fargo
237,Single Family,1800,1672,18,3,2,1062 42nd Ave W,West Fargo
147,Single Family,1800,1790,11,3,2,6120 35th St S,Fargo
238,Single Family,1800,1790,11,3,2,2110 10th St W,West Fargo
389,Single Family,1800,1800,1,4,2,1015 12th St S,Moorhead
138,Apartment,1825,1739,15,3,3,6470 21st Ave S,Fargo
153,Townhouse,1850,800,2.31,2,1,711 4th St S,Fargo
15,Apartment,1850,1370,1.35,2,2,6148 22nd St S,Fargo
394,Single Family,1875,1288,1.46,6,2,1511 9th Ave S,Moorhead
141,Townhouse,1875,1648,1.14,3,2,1434 17th St S,Fargo
7,Apartment,1890,750,2.52,1,1,2921 34th Ave S,Fargo
11,Apartment,1890,750,2.52,1,1,3029 34th Ave S,Fargo
321,Townhouse,1895,2192,0.86,3,3,4811 36th Ave S,Fargo
393,Single Family,1900,1490,1.28,6,3,1517 9th Ave S,Moorhead
257,Apartment,1900,2100,0.9,3,3,3335 Prairie Heights Way E,West Fargo
41,Apartment,1905,1900,1,3,3,325 31st Ave E,West Fargo
173,Single Family,1925,2194,0.88,4,2,1457 69th Ave S,Fargo
188,Single Family,1925,2194,0.88,4,2,1452 69th Ave S,Fargo
195,Single Family,1925,2194,0.88,4,2,1461 69th Ave S,Fargo
164,Single Family,1950,2200,0.89,4,3.5,5976 36th St S,Fargo
166,Single Family,1950,2200,0.89,4,3.5,5866 36th St S,Fargo
169,Single Family,1950,2200,0.89,4,3.5,5892 36th St S,Fargo
182,Single Family,1995,1831,19,3,3,5884 57th Ave S,Fargo
179,Single Family,1995,1865,17,3,2,6238 57th Ave S,Fargo
178,Single Family,1995,1875,16,3,2,6057 57th Ave S,Fargo
371,Single Family,1995,1913,14,3,2,4550 13th St S,Moorhead
121,Single Family,1995,1965,12,3,3,6248 57th Ave S,Fargo
186,Single Family,1995,1965,12,3,3,6215 56th Ave S,Fargo
368,Single Family,1995,1965,12,3,3,1559 35th Ave S,Moorhead
359,Single Family,1995,2045,0.98,3,3,1126 46th Ave S,Moorhead
236,Single Family,2000,1702,1.18,3,2,1150 Marlys Dr,West Fargo
351,Single Family,2000,1854,18,2,2,2216 8th St S,Moorhead
383,Single Family,2100,1100,1.91,5,2,421 16th St S,Moorhead
402,Single Family,2150,2182,0.99,4,2,3027 39th Ave S,Moorhead
344,Single Family,2150,2204,0.98,4,2,3039 39th Ave S,Moorhead
403,Single Family,2150,2212,0.97,4,2,3045 39th Ave S,Moorhead
39,Single Family,2159,2220,0.97,4,3,1442 11th Ave S,Fargo
66,Single Family,2195,1965,1.12,3,3,1271 5th St NW,West Fargo
70,Single Family,2195,2200,1,4,4,812 Cathy Dr W,West Fargo
241,Single Family,2195,2201,1,4,3.5,828 Cathy Dr W,West Fargo
234,Townhouse,2200,1865,1.18,3,2,615 13 1/2 Ave E,West Fargo
361,Single Family,2200,1900,1.16,4,2,4546 18th St S,Moorhead
370,Single Family,2200,1900,1.16,4,2,4543 17th St S,Moorhead
374,Single Family,2200,1900,1.16,4,2,4549 17th St S,Moorhead
235,Single Family,2200,2201,1,4,4,5731 Deb Dr W,West Fargo
396,Single Family,2200,2212,0.99,4,2,3830 33rd St S,Moorhead
397,Single Family,2200,2212,0.99,4,2,3836 33rd St S,Moorhead
398,Single Family,2200,2212,0.99,4,2,3608 33rd St S,Moorhead
399,Single Family,2200,2212,0.99,4,2,3602 33rd St S,Moorhead
401,Single Family,2200,2212,0.99,4,2,3837 33rd St S,Moorhead
116,Single Family,2250,1768,1.27,3,3,3713 50th St S,Fargo
416,Single Family,2250,2152,15,4,3,3100 38th Ave S,Moorhead
240,Single Family,2250,2180,13,4,2,906 29th Ave W,West Fargo
174,Single Family,2250,2832,0.79,5,2.5,1524 5th Ave S,Fargo
61,Single Family,2295,2097,19,3,3,2629 5th Ct W,West Fargo
71,Single Family,2295,2110,19,4,2,821 Cathy Dr W,West Fargo
76,Single Family,2295,2176,15,4,2,5856 Deb Dr W,West Fargo
72,Single Family,2295,2231,13,4,3,713 30th Ter E,West Fargo
133,Single Family,2300,1357,1.69,5,2,1309 8th Ave N,Fargo
360,Single Family,2350,2161,19,4,2,4537 13th St S,Moorhead
189,Single Family,2395,1631,1.47,3,2.5,7303 22nd St S,Fargo
349,Single Family,2395,1703,1.41,3,2,1102 46th Ave S,Moorhead
379,Single Family,2395,1714,1.4,3,3,4517 Blue Stem Way,Moorhead
192,Single Family,2395,1917,1.25,3,2,4978 37th Ave S,Fargo
120,Single Family,2395,2180,1.1,4,2,5433 38th Ave S,Fargo
47,Single Family,2400,2176,1.1,4,3,2166 W Dock Dr,West Fargo
325,Single Family,2450,3002,0.82,4,3,3539 Woodbury Ct S,Fargo
52,Single Family,2495,1671,1.49,3,2,1186 Marlys Dr W,West Fargo
177,Single Family,2495,2176,1.15,4,3,6682 28th St S,Fargo
73,Single Family,2495,2296,19,4,3,1135 Commander Dr W,West Fargo
377,Single Family,2495,2310,18,4,3,4505 Blue Stem Way,Moorhead
143,Single Family,2500,3019,0.83,6,3,2414 7th St N,Fargo
131,Single Family,2550,2752,0.93,4,2,2168 58th Ave S,Fargo
145,Single Family,2550,2752,0.93,4,2,2279 60th Ave S,Fargo
376,Single Family,2595,1586,1.64,3,2,4518 13th St S,Moorhead
51,Single Family,2695,1714,1.57,3,2,1224 Jill Dr W,West Fargo
74,Single Family,2695,1916,1.41,5,3.5,1206 Commander Dr W,West Fargo
176,Single Family,2795,1916,1.46,3,2.5,7338 28th St S,Fargo
56,Single Family,2795,1917,1.46,3,2.5,6179 Martin Ln W,West Fargo
69,Single Family,2795,1991,1.4,4,3,6035 8th St W,West Fargo
250,Single Family,2800,2430,1.15,4,3,2705 10th St W,West Fargo
65,Single Family,2800,2984,0.94,5,3,738 16th Avenue Ct W,West Fargo
253,Single Family,2850,2590,1.1,4,3,2741 12th St W,West Fargo
254,Single Family,2850,2590,1.1,4,3,2721 12th St W,West Fargo
68,Single Family,2895,3156,0.92,5,3,4758 6th St W,West Fargo
256,Single Family,2950,2800,15,4,3.5,968 27th Ave W,West Fargo
152,Townhouse,2950,3532,0.84,4,3,403 8th Ave S,Fargo
54,Single Family,2995,1632,1.84,3,2.5,5555 Lori Ln W,West Fargo
53,Single Family,2995,2287,1.31,4,3,6183 Martin Ln W,West Fargo
25,Single Family,3000,4700,0.64,6,4,1208 Oak St N,Fargo
